"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Яндекс Самокат API","0","Создание заказа","4","0","","0"
"1","Яндекс Самокат API","0","Логин курьера","5","0","","0"
"0","Яндекс Самокат API","2","Создание курьера","3","0","","0"
"0","Яндекс Самокат API","0","Принять заказ","4","0","","0"
"0","Яндекс Самокат API","2","Удаление курьера","2","0","","0"
"0","Яндекс Самокат API","0","Список заказов","1","0","","0"
"0","Яндекс Самокат API","0","Получить заказ по номеру","3","0","","0"
